id,first_name,last_name,email,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,quiz_score,time_spent,engagement_score
18,Maxwell,Davidson,maxwell.davidson.18@gslingacademy.com,male,False,2,True,28,Software Engineer,86,83,85.0,79,93,76,77,0.6370656370656369,0.037037037037037035,0.397054197054197
19,Jonathan,Werner,jonathan.werner.19@gslingacademy.com,male,False,1,False,37,Doctor,92,87,92.0,99,97,87,86,0.8725868725868726,0.38888888888888884,0.6791076791076791
20,Angela,Rios,angela.rios.20@gslingacademy.com,female,False,2,False,27,Software Engineer,99,65,98.0,75,66,72,100,0.6216216216216215,0.962962962962963,0.7581581581581581
21,Tim,Nichols,tim.nichols.21@gslingacademy.com,male,True,3,False,15,Software Engineer,100,90,72.0,98,73,97,72,0.7258687258687258,0.018518518518518517,0.44292864292864287
22,Kyle,Willis,kyle.willis.22@gslingacademy.com,male,False,8,False,4,Business Owner,57,55,78.0,94,83,88,88,0.4980694980694982,0.42592592592592593,0.4692120692120693
23,Shannon,Simpson,shannon.simpson.23@gslingacademy.com,female,False,9,False,2,Business Owner,89,72,68.0,72,71,54,90,0.3938223938223937,0.7962962962962963,0.5548119548119548
24,Sean,Griffin,sean.griffin.24@gslingacademy.com,male,False,9,False,1,Business Owner,50,76,81.0,55,56,80,79,0.2432432432432432,0.537037037037037,0.3607607607607607
25,Cassandra,West,cassandra.west.25@gslingacademy.com,female,False,4,False,35,Software Engineer,87,91,90.0,88,95,88,93,0.8416988416988418,0.6851851851851851,0.7790933790933792
26,Patricia,Chavez,patricia.chavez.26@gslingacademy.com,female,False,5,False,22,Doctor,92,86,87.0,81,93,90,99,0.8262548262548264,0.018518518518518517,0.5031603031603032
27,Jason,Williams,jason.williams.27@gslingacademy.com,male,False,3,False,34,Banker,100,77,80.0,94,63,90,90,0.6949806949806954,0.37037037037037035,0.5651365651365654
28,Peter,Gibbs,peter.gibbs.28@gslingacademy.com,male,False,0,False,23,Writer,64,75,93.0,79,81,96,85,0.6138996138996142,0.5925925925925926,0.6053768053768056
29,Jeffrey,Blanchard,jeffrey.blanchard.29@gslingacademy.com,male,False,1,True,17,Accountant,79,65,99.0,71,76,77,83,0.5250965250965249,0.2037037037037037,0.39653939653939646
30,Carol,Hill,carol.hill.30@gslingacademy.com,female,False,3,False,19,Accountant,82,100,61.0,97,30,74,73,0.3976833976833978,0.38888888888888884,0.3941655941655942
31,Angie,Miller,angie.miller.31@gslingacademy.com,female,False,0,False,14,Software Engineer,88,69,87.0,100,88,85,72,0.6756756756756754,0.7962962962962963,0.7239239239239238
32,Cynthia,Knapp,cynthia.knapp.32@gslingacademy.com,female,False,4,False,30,Designer,70,68,92.0,74,82,85,72,0.4980694980694982,0.4444444444444444,0.4766194766194767
33,Timothy,Bryant,timothy.bryant.33@gslingacademy.com,male,False,4,False,30,Accountant,77,96,98.0,89,85,62,62,0.5984555984555988,0.8888888888888888,0.7146289146289149
34,Phyllis,Diaz,phyllis.diaz.34@gslingacademy.com,female,False,1,False,24,Banker,99,84,84.0,78,78,77,68,0.5945945945945947,0.4814814814814815,0.5493493493493494
35,Lisa,Burns,lisa.burns.35@gslingacademy.com,female,False,3,True,31,Unknown,90,93,91.0,80,86,69,62,0.6061776061776061,0.7592592592592593,0.6674102674102673
36,Kelly,Farley,kelly.farley.36@gslingacademy.com,female,False,1,False,21,Unknown,65,70,78.0,98,80,66,65,0.41698841698841704,0.5,0.4501930501930502
37,Ryan,Lee,ryan.lee.37@gslingacademy.com,male,False,2,True,19,Construction Engineer,99,94,87.0,71,89,91,96,0.8223938223938223,0.2777777777777778,0.6045474045474045
38,Michael,Gilmore,michael.gilmore.38@gslingacademy.com,male,False,1,False,29,Construction Engineer,92,100,85.0,89,81,91,88,0.8185328185328187,0.2592592592592593,0.5948233948233949
39,Miguel,Martinez,miguel.martinez.39@gslingacademy.com,male,False,4,False,21,Banker,77,64,64.0,88,94,82,78,0.5135135135135136,0.8518518518518519,0.6488488488488489
40,Christopher,Taylor,christopher.taylor.40@gslingacademy.com,male,False,4,False,18,Accountant,92,60,66.0,87,60,83,95,0.4980694980694982,0.9259259259259258,0.6692120692120693
41,Emily,Holloway,emily.holloway.41@gslingacademy.com,female,False,4,False,31,Software Engineer,85,97,64.0,90,79,81,81,0.6293436293436296,0.7962962962962963,0.6961246961246963
42,Jesus,Rasmussen,jesus.rasmussen.42@gslingacademy.com,male,True,7,False,4,Business Owner,65,55,66.0,50,88,56,86,0.2007722007722006,1.0,0.5204633204633203
43,Lauren,Farmer,lauren.farmer.43@gslingacademy.com,female,True,6,False,3,Business Owner,93,94,92.0,77,87,98,63,0.7335907335907339,0.9444444444444444,0.8179322179322182
44,Pamela,Cole,pamela.cole.44@gslingacademy.com,female,False,4,False,3,Game Developer,97,99,85.0,96,91,68,66,0.7258687258687258,0.037037037037037035,0.4503360503360503
45,David,Gillespie,david.gillespie.45@gslingacademy.com,male,True,4,False,3,Business Owner,54,99,79.0,57,53,95,83,0.40926640926640934,0.6666666666666666,0.5122265122265123
46,Kenneth,Davis,kenneth.davis.46@gslingacademy.com,male,True,5,True,5,Business Owner,88,53,50.0,58,84,53,96,0.2625482625482627,0.9259259259259258,0.5278993278993279
47,Elizabeth,Martin,elizabeth.martin.47@gslingacademy.com,female,False,5,True,27,Lawyer,71,85,93.0,68,100,91,87,0.698841698841699,0.1111111111111111,0.46374946374946385
48,Billy,Soto,billy.soto.48@gslingacademy.com,male,False,0,True,28,Stock Investor,81,98,74.0,70,97,65,65,0.5250965250965249,0.37037037037037035,0.4632060632060631
49,Kimberly,Kelly,kimberly.kelly.49@gslingacademy.com,female,False,4,False,32,Unknown,80,78,86.0,80,64,68,100,0.5482625482625485,0.14814814814814814,0.3882167882167884
50,Sonia,Noble,sonia.noble.50@gslingacademy.com,female,False,0,False,14,Accountant,100,89,90.0,93,30,83,74,0.5598455598455598,0.7037037037037037,0.6173888173888173
51,Christopher,Stewart,christopher.stewart.51@gslingacademy.com,male,False,6,True,16,Stock Investor,76,72,96.0,65,89,87,94,0.6370656370656369,0.31481481481481477,0.508165308165308
52,Sandra,Thornton,sandra.thornton.52@gslingacademy.com,female,False,2,False,24,Lawyer,99,81,73.0,70,85,86,61,0.5444015444015444,0.05555555555555555,0.34886314886314884
53,Luke,Shannon,luke.shannon.53@gslingacademy.com,male,False,9,False,0,Business Owner,64,70,61.0,81,82,51,70,0.2509652509652509,0.4444444444444444,0.3283569283569283
54,Lindsay,Pruitt,lindsay.pruitt.54@gslingacademy.com,female,False,3,False,32,Banker,90,96,86.0,61,89,98,68,0.6718146718146718,0.24074074074074073,0.49938509938509934
55,Jamie,Taylor,jamie.taylor.55@gslingacademy.com,male,False,2,False,3,Game Developer,85,100,92.0,68,60,77,83,0.583011583011583,0.9074074074074074,0.7127699127699128
56,Jennifer,Murphy,jennifer.murphy.56@gslingacademy.com,female,False,6,False,31,Software Engineer,91,60,84.0,88,76,71,99,0.5984555984555988,0.14814814814814814,0.4183326183326186
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,False,3,False,21,Unknown,95,72,79.0,86,87,81,62,0.5714285714285716,0.462962962962963,0.5280423280423282
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,True,2,False,18,Banker,94,78,73.0,97,67,78,99,0.6640926640926641,0.962962962962963,0.7836407836407837
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,False,7,False,26,Software Engineer,94,89,64.0,96,91,95,77,0.7413127413127412,0.018518518518518517,0.4521950521950521
60,Casey,May,casey.may.60@gslingacademy.com,male,False,4,False,23,Software Engineer,89,99,90.0,79,85,96,98,0.8571428571428572,0.35185185185185186,0.6550264550264551
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,False,2,False,1,Game Developer,91,81,88.0,71,78,83,76,0.5945945945945947,0.5,0.5567567567567568
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,False,5,False,33,Lawyer,83,86,61.0,99,99,88,73,0.6756756756756754,0.8518518518518519,0.746146146146146
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,False,7,False,2,Business Owner,98,65,53.0,64,52,96,62,0.2934362934362935,0.1111111111111111,0.22050622050622057
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,False,1,False,34,Banker,83,97,65.0,88,67,95,69,0.5791505791505793,0.7962962962962963,0.6660088660088661
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,False,2,False,18,Construction Engineer,91,73,99.0,70,63,80,78,0.5405405405405403,0.12962962962962962,0.37617617617617605
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,True,6,False,2,Business Owner,90,54,77.0,74,76,96,88,0.5444015444015444,0.8518518518518519,0.6673816673816675
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,False,3,False,27,Software Engineer,92,86,66.0,69,100,71,80,0.5791505791505793,0.6296296296296297,0.5993421993421995
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,False,2,False,8,Real Estate Developer,64,64,73.0,76,72,97,91,0.4749034749034746,0.24074074074074073,0.38123838123838105
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,False,4,False,14,Software Engineer,90,70,85.0,60,81,71,88,0.5057915057915059,0.2962962962962963,0.42199342199342205
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,False,10,True,22,Banker,99,81,96.0,69,91,87,83,0.7413127413127412,0.6481481481481481,0.704046904046904
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,False,1,False,15,Designer,89,66,93.0,81,86,88,70,0.6138996138996142,0.9074074074074074,0.7313027313027315
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,True,3,False,22,Writer,62,87,93.0,83,93,97,73,0.6718146718146718,0.7222222222222222,0.691977691977692
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,True,10,False,1,Business Owner,61,70,69.0,64,59,78,80,0.2586872586872586,0.05555555555555555,0.17743457743457738
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,True,8,False,3,Business Owner,51,54,66.0,87,99,58,68,0.2664092664092663,0.018518518518518517,0.1672529672529672
75,Anna,Li,anna.li.75@gslingacademy.com,female,False,2,False,20,Software Engineer,85,100,64.0,68,73,81,87,0.5559845559845558,0.09259259259259259,0.37062777062777047
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,False,7,True,27,Software Engineer,99,90,96.0,92,100,98,77,0.9189189189189189,0.9814814814814814,0.9439439439439439
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,False,3,False,24,Software Engineer,87,63,60.0,90,89,99,80,0.5945945945945947,0.7592592592592593,0.6604604604604606
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,False,1,True,5,Unknown,75,91,80.0,93,74,93,65,0.6061776061776061,0.05555555555555555,0.3859287859287858
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,False,7,False,34,Unknown,88,94,80.0,63,68,77,64,0.4633204633204637,0.9814814814814814,0.6705848705848708
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,False,3,False,16,Software Engineer,87,79,89.0,68,93,75,92,0.6525096525096528,0.5185185185185185,0.598913198913199
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,True,3,False,3,Business Owner,87,67,94.0,92,62,58,65,0.4285714285714284,0.31481481481481477,0.3830687830687829
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,False,1,False,15,Stock Investor,76,67,83.0,85,91,61,67,0.44787644787644787,0.462962962962963,0.45391105391105396
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,False,7,False,11,Government Officer,60,80,61.0,63,95,92,75,0.43243243243243246,0.7962962962962963,0.577977977977978
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,False,7,False,32,Scientist,85,65,99.0,100,88,93,72,0.7258687258687258,0.6111111111111112,0.6799656799656799
85,James,Dawson,james.dawson.85@gslingacademy.com,male,False,3,False,28,Unknown,73,67,70.0,71,65,73,87,0.3552123552123554,0.16666666666666666,0.2797940797940799
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,False,1,False,24,Software Engineer,85,71,69.0,80,70,77,66,0.40154440154440163,0.6481481481481481,0.5001859001859001
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,False,2,False,9,Government Officer,91,76,71.0,72,92,67,90,0.5598455598455598,0.24074074074074073,0.4322036322036322
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,False,3,True,14,Software Engineer,99,95,83.0,89,81,63,70,0.640926640926641,0.5555555555555556,0.6067782067782068
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,False,3,False,16,Stock Investor,93,96,68.0,87,69,89,100,0.7258687258687258,0.8703703703703703,0.7836693836693835
90,William,Brown,william.brown.90@gslingacademy.com,male,False,3,False,29,Software Engineer,89,75,60.0,80,62,85,73,0.42471042471042475,0.2592592592592593,0.35852995852995856
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,False,0,False,14,Accountant,95,78,95.0,73,32,65,68,0.3552123552123554,0.12962962962962962,0.2649792649792651
92,James,Santiago,james.santiago.92@gslingacademy.com,male,False,4,False,10,Government Officer,68,82,95.0,63,62,98,93,0.5675675675675675,0.24074074074074073,0.43683683683683683
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,False,5,False,31,Software Engineer,98,73,73.0,77,87,98,83,0.6756756756756754,0.40740740740740744,0.5683683683683682
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,False,4,False,34,Stock Investor,79,92,79.0,76,84,67,86,0.5752895752895753,0.7222222222222222,0.6340626340626341
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,False,5,False,3,Unknown,78,79,73.0,96,64,93,85,0.5945945945945947,0.37037037037037035,0.504904904904905
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,False,2,True,34,Software Engineer,100,98,89.0,85,81,64,94,0.7606177606177607,0.2777777777777778,0.5674817674817675
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,False,3,True,2,Artist,86,76,84.0,93,76,69,91,0.6216216216216215,0.8148148148148148,0.6988988988988989
98,Thomas,White,thomas.white.98@gslingacademy.com,male,False,3,False,4,Real Estate Developer,87,89,93.0,98,79,72,88,0.7413127413127412,0.31481481481481477,0.5707135707135707
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,True,0,False,28,Lawyer,100,93,85.0,61,96,83,86,0.7335907335907339,0.8518518518518519,0.7808951808951812
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,False,0,False,5,Game Developer,85,89,94.0,69,99,93,98,0.8223938223938223,0.962962962962963,0.8786214786214785
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,False,2,False,4,Artist,87,73,98.0,91,79,60,77,0.583011583011583,0.42592592592592593,0.5201773201773201
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,False,2,False,25,Software Engineer,96,80,100.0,61,81,98,65,0.644787644787645,0.462962962962963,0.5720577720577722
103,James,Yang,james.yang.103@gslingacademy.com,male,False,5,False,29,Writer,76,87,64.0,74,73,90,99,0.5752895752895753,0.4444444444444444,0.5229515229515229
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,True,6,False,1,Artist,90,80,63.0,94,64,70,79,0.4864864864864864,0.8148148148148148,0.6178178178178177
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,False,7,False,2,Business Owner,65,60,100.0,91,87,78,99,0.640926640926641,0.7407407407407407,0.6808522808522808
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,False,2,False,0,Real Estate Developer,98,97,62.0,89,62,95,77,0.640926640926641,0.5185185185185185,0.591963391963392
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,False,3,False,16,Accountant,91,80,97.0,89,94,95,84,0.8339768339768341,0.2592592592592593,0.6040898040898042
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,False,3,True,31,Scientist,86,81,83.0,81,81,77,86,0.6216216216216215,0.8148148148148148,0.6988988988988989
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,False,1,False,4,Unknown,91,93,72.0,61,61,87,95,0.5637065637065639,0.0,0.3382239382239383
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,False,5,True,13,Accountant,78,69,82.0,60,64,77,82,0.3783783783783783,0.4444444444444444,0.40480480480480474
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,False,4,False,24,Stock Investor,76,89,89.0,83,89,90,64,0.640926640926641,0.1111111111111111,0.429000429000429
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,True,9,False,2,Business Owner,82,54,85.0,57,50,54,76,0.16988416988417,0.14814814814814814,0.16118976118976125
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,True,2,True,4,Business Owner,45,85,94.0,76,57,93,86,0.471042471042471,0.42592592592592593,0.452995852995853
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,False,1,False,22,Banker,92,75,65.0,97,61,76,81,0.5135135135135136,0.0,0.3081081081081081
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,False,6,True,0,Business Owner,43,65,91.0,75,64,94,100,0.4555984555984556,0.7962962962962963,0.5918775918775918
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,False,2,False,24,Unknown,96,66,69.0,65,72,84,77,0.4440154440154438,0.12962962962962962,0.31826111826111814
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,False,6,False,1,Business Owner,78,71,50.0,55,54,97,95,0.33204633204633205,0.42592592592592593,0.3695981695981696
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,False,1,False,19,Unknown,68,96,64.0,70,74,63,75,0.3706563706563708,0.1851851851851852,0.29646789646789656
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,False,1,True,19,Software Engineer,93,73,94.0,65,60,63,93,0.4903474903474905,0.9259259259259258,0.6645788645788646
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,False,6,False,5,Business Owner,55,93,67.0,74,55,60,64,0.20849420849420852,0.2962962962962963,0.24361504361504363
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,True,0,False,13,Teacher,66,90,83.0,80,76,90,91,0.6254826254826256,0.12962962962962962,0.4271414271414272
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,False,4,False,26,Doctor,98,92,91.0,99,97,88,75,0.8725868725868726,0.6296296296296297,0.7754039754039754
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,False,4,False,41,Doctor,94,94,94.0,89,85,86,85,0.8223938223938223,0.6296296296296297,0.7452881452881452
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,False,3,False,47,Doctor,96,100,96.0,91,91,96,89,0.945945945945946,0.5925925925925926,0.8046046046046047
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,False,2,False,9,Unknown,69,62,82.0,89,81,72,71,0.43243243243243246,0.07407407407407407,0.2890890890890891
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,False,4,False,7,Unknown,77,95,98.0,69,60,89,71,0.5598455598455598,0.7592592592592593,0.6396110396110397
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,False,1,False,3,Game Developer,89,67,86.0,87,87,68,78,0.5714285714285716,0.7037037037037037,0.6243386243386244
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,False,4,True,14,Accountant,96,67,80.0,83,86,77,75,0.5791505791505793,0.7407407407407407,0.6437866437866439
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,False,4,False,26,Unknown,82,70,80.0,70,96,69,86,0.5366795366795367,0.5,0.522007722007722
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,False,6,True,27,Unknown,99,97,64.0,90,87,68,69,0.6177606177606179,0.1111111111111111,0.41510081510081515
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,True,5,False,25,Stock Investor,96,73,90.0,85,63,84,87,0.6332046332046333,0.14814814814814814,0.43918203918203924
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,True,4,False,16,Banker,95,82,66.0,63,67,92,69,0.4633204633204637,0.12962962962962962,0.3298441298441301
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,False,4,False,27,Software Engineer,90,63,69.0,80,99,69,79,0.5212355212355213,0.2037037037037037,0.39422279422279427
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,True,6,False,0,Business Owner,88,52,53.0,56,85,93,78,0.3513513513513513,0.6111111111111112,0.45525525525525523
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,False,1,False,3,Designer,87,62,87.0,96,85,90,74,0.644787644787645,0.5925925925925926,0.623909623909624
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,False,2,False,6,Designer,62,83,84.0,75,83,85,86,0.5559845559845558,0.8703703703703703,0.6817388817388816
137,David,Patel,david.patel.137@gslingacademy.com,male,False,2,False,12,Banker,85,65,60.0,78,81,96,76,0.4903474903474905,1.0,0.6942084942084943
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,False,1,True,11,Banker,79,97,76.0,67,61,90,95,0.583011583011583,0.40740740740740744,0.5127699127699128
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,False,4,False,23,Software Engineer,90,94,98.0,96,68,82,81,0.752895752895753,0.42592592592592593,0.6221078221078221
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,False,2,False,23,Doctor,97,71,82.0,80,97,93,78,0.7104247104247103,0.6666666666666666,0.6929214929214929
141,James,Singh,james.singh.141@gslingacademy.com,male,False,0,False,16,Software Engineer,88,69,87.0,81,77,67,93,0.5714285714285716,0.6296296296296297,0.5947089947089949
142,Marc,Villanueva,marc.villanueva.142@gslingacademy.com,male,True,2,True,3,Artist,71,85,77.0,89,98,63,100,0.6525096525096528,0.7962962962962963,0.7100243100243102
143,Cathy,Wilson,cathy.wilson.143@gslingacademy.com,female,False,1,False,29,Lawyer,70,99,79.0,96,60,97,100,0.7220077220077221,0.7222222222222222,0.7220935220935222
144,Adam,Mitchell,adam.mitchell.144@gslingacademy.com,male,False,3,True,18,Software Engineer,93,68,76.0,99,80,80,75,0.6061776061776061,0.38888888888888884,0.5192621192621192
145,Sherry,Phillips,sherry.phillips.145@gslingacademy.com,female,False,0,False,3,Game Developer,92,79,81.0,61,86,72,88,0.5598455598455598,0.4814814814814815,0.5284999284999286
146,Victor,Jones,victor.jones.146@gslingacademy.com,male,False,3,False,6,Real Estate Developer,83,72,68.0,94,100,98,92,0.7451737451737452,0.6296296296296297,0.698956098956099
147,Mark,Young,mark.young.147@gslingacademy.com,male,False,8,False,2,Business Owner,68,97,51.0,93,68,58,78,0.38223938223938236,0.0,0.2293436293436294
148,Matthew,Jackson,matthew.jackson.148@gslingacademy.com,male,False,0,False,34,Lawyer,92,90,65.0,79,96,87,74,0.6525096525096528,0.6296296296296297,0.6433576433576436
149,Tanya,Nichols,tanya.nichols.149@gslingacademy.com,female,False,4,True,22,Unknown,69,91,82.0,99,94,75,74,0.6563706563706564,0.6666666666666666,0.6604890604890605
150,Julie,Gray,julie.gray.150@gslingacademy.com,female,True,5,False,4,Business Owner,76,72,72.0,65,82,71,93,0.45173745173745194,0.8518518518518519,0.6117832117832119
151,Courtney,Perry,courtney.perry.151@gslingacademy.com,female,False,3,False,3,Unknown,86,92,79.0,73,73,61,60,0.42471042471042475,0.24074074074074073,0.3511225511225511
152,Stephen,Rodriguez,stephen.rodriguez.152@gslingacademy.com,male,True,10,False,2,Business Owner,41,57,97.0,56,50,98,83,0.2625482625482627,0.037037037037037035,0.1723437723437724
153,Elizabeth,Robinson,elizabeth.robinson.153@gslingacademy.com,female,False,5,False,18,Unknown,91,100,84.0,72,84,90,82,0.7297297297297298,0.0,0.43783783783783786
154,William,Graves,william.graves.154@gslingacademy.com,male,False,0,False,8,Real Estate Developer,78,67,82.0,70,65,68,81,0.37451737451737444,0.07407407407407407,0.2543400543400543
155,Nancy,Moore,nancy.moore.155@gslingacademy.com,female,False,1,False,33,Software Engineer,89,73,85.0,84,73,81,98,0.6525096525096528,0.462962962962963,0.5766909766909769
156,Matthew,Newman,matthew.newman.156@gslingacademy.com,male,False,0,True,13,Unknown,96,71,88.0,74,80,92,65,0.586872586872587,1.0,0.7521235521235523
